fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distancia_km,ano,mes,dia_semana,hora,eh_aeroporto
7.5,-73.99981689,40.73835373,-73.99951172,40.72321701,1,1.6833228839391674,2015,5,3,19,0
7.7,-73.994355,40.728225,-73.99471,40.750325,1,2.4575898837790584,2009,7,4,20,0
12.9,-74.005043,40.74077,-73.962565,40.772647,1,5.036377190242993,2009,8,0,21,0
5.3,-73.976124,40.790844,-73.965316,40.803349,3,1.661683458435346,2009,6,4,8,0
16.0,-73.925023,40.744085,-73.973082,40.761247,5,4.475449963029145,2014,8,3,17,0
24.5,-73.961447,40.693965,-73.871195,40.774297,5,11.731014883540363,2014,10,6,7,1
9.7,-73.975187,40.745767,-74.00272,40.743537,1,2.332711009340077,2012,2,4,9,0
12.5,-74.001065,40.741787,-73.96304,40.775012,1,4.889416888104932,2012,3,3,19,0
6.5,-73.97438812,40.74695206,-73.98858643,40.72980499,1,2.2508584707871426,2015,5,4,17,0
3.3,-73.966378,40.80444,-73.96589,40.807133,5,0.30225169336801644,2011,5,1,14,0
10.9,-73.953352,40.767382,-73.97251,40.796137,1,3.581250827378925,2011,6,5,11,0
6.9,-73.97337,40.755193,-73.978265,40.766375,1,1.309949900010888,2010,4,1,22,0
9.7,-73.990718,40.75192,-73.973053,40.74423,2,1.7162774216539223,2012,2,1,9,0
4.9,-73.988908,40.756982,-73.981246,40.76005,1,0.7299655487752681,2011,9,3,9,0
10.5,-74.005665,40.741138,-73.97783,40.749338,2,2.5159500721201353,2011,3,5,23,0
12.0,-73.96253204,40.76718903,-73.97445679,40.75386047,1,1.7903202669549625,2015,3,2,8,0
4.9,-73.992075,40.719633,-73.985323,40.727405,1,1.0347036107860215,2009,8,5,0,0
10.5,-73.980022,40.74599,-74.003432,40.759667,1,2.4902437611974397,2014,2,1,14,0
5.0,-73.98918915,40.72914124,-73.9872818,40.72063446,2,0.959469437308077,2015,3,1,23,0
4.1,-74.010798,40.726085,-74.009767,40.737402,2,1.2613880250405092,2009,11,3,2,0
7.7,-73.9943,40.739512,-73.98807,40.724482,2,1.751762582083585,2010,9,5,16,0
12.9,-73.972987,40.76404,-74.00782,40.714993,5,6.193235947014278,2010,5,2,22,0
9.5,-73.986059,40.757159,-73.97613,40.780589,1,2.7361888046764697,2009,2,3,17,0
5.0,-73.957802,40.776372,-73.957422,40.78287,1,0.7232527134113774,2014,1,1,6,0
12.0,-73.993909,40.741551,-73.987874,40.770232,1,3.2294390767342174,2012,11,2,17,0
4.9,-73.97778,40.763656,-73.989486,40.772966,1,1.4295153219103565,2009,5,2,20,0
7.3,-73.971075,40.787833,-73.944957,40.784302,5,2.233696226233353,2011,12,5,2,0
25.7,-73.944815,40.834367,-73.989332,40.72192,4,13.053312139231979,2011,5,5,9,0
7.7,-74.004184,40.712975,-73.988385,40.725102,1,1.8950465432768815,2009,2,5,15,0
10.5,-73.982085,40.771387,-73.95961,40.769445,1,1.9049327090314903,2013,2,0,19,0
11.0,-73.991186,40.741393,-74.00971,40.716455,2,3.1821134289666895,2013,9,1,20,0
39.5,-73.78808,40.642187,-73.865042,40.725997,4,11.356140698272466,2014,6,2,6,1
8.1,-73.98869,40.751273,-73.95881,40.764643,3,2.9230196514159985,2009,6,4,5,0
5.7,-74.010863,40.710813,-74.001205,40.718745,1,1.2002121842415259,2011,2,5,16,0
6.9,-73.968697,40.754998,-73.987302,40.73594,1,2.6357871666991657,2011,8,2,19,0
7.7,-73.96837,40.759005,-73.979105,40.77757,3,2.253610790734642,2010,5,1,21,0
29.0,-73.9926,40.753172,-73.908508,40.816192,1,9.961496456570083,2014,2,3,17,0
15.7,-73.97336,40.786952,-73.97281,40.743548,1,4.826526866189426,2010,4,3,14,0
9.0,-73.970164,40.765016,-73.962801,40.77478,1,1.2502909601091337,2014,4,2,14,0
4.9,-73.987139,40.753038,-73.977794,40.751834,1,0.7984731247764232,2011,2,1,15,0
5.4,-73.994222,40.751229,-73.998331,40.744342,1,0.8403949918797582,2009,1,5,22,0
3.3,-73.982371,40.765501,-73.985248,40.762808,1,0.3851987079578982,2012,7,3,0,0
8.9,-73.977137,40.779272,-73.970457,40.757972,1,2.434342813775855,2009,2,3,8,0
17.0,-73.9939,40.751714,-73.958575,40.76039,1,3.1279052128174074,2014,1,3,14,0
12.0,-73.97952271,40.72731018,-73.98487854,40.76065063,1,3.7346451107168157,2015,1,6,9,0
13.5,-73.962043,40.805372,-73.988447,40.77014,1,4.504354287331334,2013,5,3,10,0
7.7,-73.983052,40.776055,-73.974093,40.763797,1,1.557898697870051,2009,10,5,18,0
13.3,-73.9859,40.7277,-73.9825,40.7719,1,4.923153810340649,2011,8,0,13,0
14.9,-73.997385,40.720822,-73.955628,40.782252,1,7.683147455752004,2012,5,4,3,0
7.5,-73.937809,40.850558,-73.944454,40.834959,1,1.822374033496422,2012,12,6,2,0
16.9,-73.986593,40.759143,-74.001767,40.72012,1,4.523566835042452,2009,4,3,11,0
11.0,-73.958903,40.815239,-73.980862,40.78261,1,4.071890589696228,2014,11,3,20,0
6.5,-73.990305,40.756175,-74.003678,40.759173,1,1.1746720856053612,2010,3,4,22,0
6.5,-73.968111,40.765625,-73.980863,40.75916,1,1.2923801933419812,2009,1,4,14,0
5.3,-73.98973,40.734507,-74.001847,40.740387,1,1.212319845132753,2009,7,4,1,0
4.1,-73.954332,40.77406,-73.952558,40.766325,2,0.8729704691968458,2009,2,0,16,0
9.0,-73.97213745,40.74988937,-73.9818573,40.73242569,1,2.107472321464057,2015,6,2,17,0
17.3,-73.975307,40.757499,-74.010737,40.711715,3,5.901635465259575,2011,10,6,11,0
6.5,-73.997925,40.749805,-74.003443,40.754337,2,0.6855631370933565,2011,6,2,6,0
20.0,-73.977453,40.785215,-73.98595,40.734955,1,5.634292439467108,2013,10,5,20,0
13.0,-73.993619,40.749808,-73.992512,40.756546,2,0.7550116501425109,2014,8,4,14,0
5.5,-73.968242,40.762112,-73.979687,40.765432,1,1.0321734773328322,2013,1,2,19,0
15.5,-73.989945,40.73399,-73.95831,40.780797,1,5.847115069382492,2012,12,5,15,0
8.5,-73.99765015,40.73622131,-73.98181152,40.76134872,2,3.0962605869106548,2015,2,0,11,0
7.5,-73.997933,40.756223,-73.981529,40.742386,1,2.0680418322721756,2013,2,4,20,0
6.9,-73.949458,40.773348,-73.964993,40.76659,5,1.5086958059297724,2009,5,2,10,0
21.0,-73.95431519,40.76970291,-73.99013519,40.75743866,1,3.310683099962781,2015,5,6,14,0
4.1,-73.994554,40.721011,-73.989079,40.722964,2,0.5099454931148029,2012,6,3,20,0
5.7,-73.990968,40.72757,-73.99137,40.74472,1,1.9072937584277756,2011,12,5,1,0
19.3,-74.013173,40.704148,-73.984285,40.754962,1,6.152295773060565,2009,3,2,9,0
17.3,-73.995721,40.767201,-73.951222,40.723918,4,6.100532472814074,2010,12,5,4,0
12.0,-74.010142,40.719717,-74.013625,40.702315,1,1.9571569688907504,2014,4,1,9,0
11.3,-73.981496,40.768334,-73.956104,40.804763,1,4.580221955927247,2012,4,3,20,0
9.7,-73.94984,40.796042,-73.962738,40.759112,3,4.247616454477531,2010,4,6,20,0
4.9,-73.986989,40.7208,-73.976607,40.722857,1,0.9043265972837276,2012,5,2,19,0
11.0,-73.96671295,40.80403519,-73.93840027,40.79726791,1,2.499145569683898,2015,5,3,13,0
3.5,-73.97534943,40.752491,-73.97386169,40.74888992,2,0.4195750808117316,2015,5,3,1,0
26.1,-73.976132,40.744211,-73.90495,40.876687,2,15.902236401259326,2012,6,6,1,0
8.1,-73.982543,40.731653,-73.954875,40.768787,5,4.741476721199142,2010,10,5,21,0
7.7,-73.987383,40.721255,-73.954733,40.730683,1,2.9443036554791675,2010,9,2,10,0
5.3,-73.971503,40.760135,-73.961437,40.768975,1,1.29803428136408,2012,4,3,18,0
4.5,-73.98192,40.761172,-74.016152,40.704765,1,6.903595570455703,2010,9,2,12,0
7.3,-74.008325,40.725947,-73.988232,40.720322,1,1.805093407262824,2010,1,5,3,0
6.5,-73.992605,40.733957,-73.980698,40.742135,1,1.3540018764341188,2013,2,4,18,0
5.3,-73.986465,40.755052,-73.996115,40.744817,3,1.3985774606880699,2012,8,6,18,0
9.3,-73.95771,40.765555,-73.970059,40.762758,1,1.0855333061490562,2010,3,4,12,0
3.7,-73.976459,40.744077,-73.983699,40.734203,1,1.2560027307650972,2009,4,1,11,0
4.0,-73.950582,40.786452,-73.9575,40.776686,1,1.232283733752288,2014,4,6,13,0
9.5,-73.9784317,40.75239944,-74.00042725,40.74211884,1,2.177181728431067,2015,4,5,8,0
4.5,-73.990055,40.756413,-73.983047,40.756727,3,0.5913089720405789,2011,10,0,20,0
3.3,-73.982326,40.731314,-73.989649,40.734398,1,0.7059199000024249,2010,4,0,3,0
30.9,-73.995888,40.759078,-73.865005,40.770452,1,11.095110823643038,2011,11,4,9,1
26.9,-73.990137,40.756007,-73.929361,40.774553,1,5.518253928149035,2009,8,6,14,0
9.0,-73.95828,40.7689,-73.97351,40.782907,5,2.017540513110456,2014,2,2,18,0
4.1,-73.977633,40.753166,-73.981589,40.757359,1,0.573073660056064,2011,2,6,21,0
14.9,-73.962218,40.640218,-73.968043,40.640505,1,0.4925258833329277,2011,2,4,11,0
6.5,-74.000545,40.737462,-74.009545,40.713217,5,2.8005690771503544,2009,7,4,9,0
43.0,-73.86270142,40.76895905,-73.9990921,40.74182892,2,11.877744047527509,2015,5,4,18,1
8.0,-73.984463,40.742792,-73.97735,40.761375,5,2.1514498437713505,2012,12,1,22,0
6.0,-73.95018768,40.7192955,-73.94046021,40.72421265,1,0.9853744516855277,2015,4,1,1,0
4.0,-73.988752,40.758687,-73.98508,40.773772,1,1.7056436942565265,2013,5,4,18,0
3.7,-73.984218,40.732007,-73.979443,40.727617,5,0.6325948765673487,2010,3,1,21,0
10.1,-73.99268,40.768321,-74.00233,40.746864,2,2.5205564409105996,2012,3,2,17,0
18.0,-73.95474243,40.68746948,-73.98821259,40.73051071,1,5.55558383949473,2015,1,4,22,0
5.7,-73.988433,40.737176,-73.981018,40.747329,1,1.2902700094436983,2009,2,2,18,0
6.5,-73.964187,40.757303,-73.983382,40.743835,1,2.203897630066611,2012,6,6,15,0
35.3,-73.776743,40.645374,-73.913408,40.745943,1,16.0562675119255,2009,5,4,21,1
6.1,-73.997893,40.735897,-74.006543,40.746245,5,1.3620067732512613,2012,7,3,17,0
4.9,-73.985758,40.753255,-73.98142,40.746513,1,0.8339951625071622,2011,6,6,18,0
6.1,-73.9956,40.754782,-74.002493,40.734401,1,2.3394783327850464,2011,7,4,22,0
10.0,-73.976022,40.76004,-73.982853,40.74504,1,1.7643864118751165,2013,2,0,15,0
10.5,-73.988604,40.778445,-73.994931,40.749954,1,3.2125544189204627,2014,6,6,15,0
8.9,-73.997975,40.720503,-74.001847,40.737797,1,1.9504871655301903,2012,4,2,18,0
13.0,-74.006395,40.749657,-73.978468,40.753897,5,2.3992142001337746,2013,3,3,14,0
6.9,-73.990318,40.737122,-73.97627,40.744955,1,1.4694752956436283,2012,1,2,0,0
9.7,-73.982613,40.771843,-73.978862,40.754318,2,1.9741320914557088,2009,11,0,9,0
10.1,-73.980253,40.765255,-73.974253,40.731925,2,3.7404332859766165,2009,9,5,1,0
9.7,-73.954797,40.767289,-73.974788,40.754888,1,2.176308356423864,2011,7,2,17,0
5.3,-73.956158,40.781593,-73.966138,40.773645,1,1.2195217297895897,2010,9,1,12,0
5.7,-73.991201,40.750336,-73.977786,40.75239,1,1.1528712807883033,2010,1,3,6,0
7.5,-73.975132,40.73302,-73.977113,40.752058,1,2.1234975190222865,2014,11,0,5,0
10.5,-73.995627,40.749295,-73.965087,40.77161,1,3.5739561434812805,2010,9,4,16,0
6.1,-73.985523,40.760627,-73.989185,40.774452,1,1.5678988052204392,2010,11,2,18,0
6.5,-74.00299072,40.73112869,-74.00541687,40.74004364,1,1.0121543348269544,2015,4,5,22,0
7.7,-73.962497,40.76308,-73.98472,40.736343,1,3.513300762627258,2009,1,6,13,0
6.1,-74.001561,40.735996,-73.986623,40.74737,2,1.7841960089986924,2010,9,2,0,0
8.9,-74.008055,40.711553,-73.997185,40.679587,1,3.6706908026919316,2009,6,1,0,0
9.0,-73.978163,40.74563,-73.952042,40.773192,2,3.7726588037335183,2013,8,6,1,0
15.0,-73.994126,40.750917,-73.949428,40.781336,1,5.060737421253155,2014,9,1,0,0
15.0,-73.98861694,40.74912643,-73.95635986,40.74752045,4,2.723182025057245,2015,1,2,21,0
12.9,-74.010698,40.710985,-73.991138,40.750717,1,4.715412929675451,2009,9,3,14,0
